# 云笺多音字索引 —— 覆盖闭合检查的候选集来源。
#
# 为什么需要它。破读词表的「覆盖完整」如果拿词表自己当候选集，就是循环论证：漏掉的字
# 既不在词表里、也不在候选集里，检查永远通过。所以候选集必须来自词表之外的独立判据，
# 而那个判据是韵书：**同一个字兼收于多个声部（调类两读）或多个韵部（韵类两读）**，即为
# 本表所收的多音字。往朗读名册加一首诗时，这张表会立刻指出它引入了哪些字还没有处置。
#
# 为什么随仓而不是查库。语料库是 600 MB 级的构建产物，测试不该依赖它是否已构建；而本表
# 是它的一个投影，逐行带出处，体积在百 KB 级。于是覆盖检查在一台既没有模型也没有语料库
# 的机器上仍然成立——与 audio、models 两个模块同一条「判定层不依赖重资源」的原则。
#
# 列：字 <TAB> 兼收
#   兼收   该字在两部韵书里的全部声部与韵部，即它被判为多音字的依据本身。
#
# 全表由下面这条 SQL 自 corpus.db 派生，可逐字复现：
#   SELECT rhyme_book, tone_raw, rhyme_group, character FROM rhyme;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# 派生时的实测数字与两条取舍，写在这里是因为它们会影响「覆盖完整」这句话的含义：
#   * 韵书共收 CJK 基本区单字若干，其中判为多音的 1815 个：调类两读 1406 个、
#     仅韵类两读 409 个。本表就是这 1815 个。
#   * **只收基本区**（U+4E00–U+9FFF）。另有 156 个基本区外条目（扩展区罕用字如 𫄧、㛀，以及一个全角逗号）被排除——
#     它们是真字，不是垃圾，但朗读名册的正文全部落在基本区，收进来只会让覆盖检查去追一批
#     不会出现的字。名册若将来收入扩展区用字，这一条要一起放宽。
#   * 排除 3 个非字条目：一个空格与一对方括号（另有一个全角逗号落在扩展区那一档里）。
#     **这些是上游韵书 JSON 的解析残留**，与扩展区罕用字性质不同，不该被当成字。
字	兼收
垒	《平水韵》入声部 入声四质、上平声部 十灰、上声部 四纸；《词林正韵》仄声 第三部
垛	《平水韵》上声部 二十哿、下平声部 五歌；《词林正韵》仄声 第九部
垝	《平水韵》去声部 四寘、上声部 四纸
垠	《平水韵》上平声部 十一真、上平声部 十三元、上平声部 十二文；《词林正韵》平声 第六部
垤	《平水韵》入声部 入声九屑、入声部 入声四质；《词林正韵》入声 第十七部、入声 第十八部
埘	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》平声 第三部
埧	《平水韵》去声部 七遇、去声部 二十二祃
埴	《平水韵》入声部 入声十三职、去声部 四寘
培	《平水韵》上声部 二十五有、上平声部 十灰；《词林正韵》平声 第三部
埼	《平水韵》上平声部 五微、上平声部 四支、上声部 四纸
埽	《平水韵》去声部 二十号、上声部 十九皓
堁	《平水韵》去声部 二十一个、上声部 二十哿
堋	《平水韵》去声部 二十五径、下平声部 十蒸
堕	《平水韵》上声部 二十哿、上平声部 四支；《词林正韵》仄声 第九部
堨	《平水韵》入声部 入声七曷、入声部 入声六月
堰	《平水韵》去声部 十七霰、上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第七部
堲	《平水韵》入声部 入声十三职、入声部 入声四质
塈	《平水韵》去声部 五未、去声部 四寘
塍	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》平声 第十一部
塞	《平水韵》入声部 入声十三职、去声部 十一队；《词林正韵》仄声 第五部、入声 第十七部
填	《平水韵》下平声部 一先、上平声部 十一真、去声部 十七霰、去声部 十二震；《词林正韵》平声 第七部
墁	《平水韵》去声部 十五翰、上平声部 十四寒
墐	《平水韵》上平声部 十一真、去声部 十二震
墣	《平水韵》入声部 入声一屋、入声部 入声三觉
壅	《平水韵》上平声部 二冬、去声部 二宋、上声部 二肿
壝	《平水韵》上平声部 四支、上声部 四纸
处	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
复	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》仄声 第十二部、入声 第十五部
夏	《平水韵》上声部 二十一马、去声部 二十二祃；《词林正韵》仄声 第十部
外	《平水韵》去声部 九泰；《词林正韵》仄声 第三部、仄声 第五部
大	《平水韵》去声部 九泰、去声部 二十一个；《词林正韵》仄声 第九部、仄声 第五部
夭	《平水韵》下平声部 二萧、上声部 十七筱、上声部 十九皓；《词林正韵》仄声 第八部、平声 第八部
夹	《平水韵》入声部 入声十七洽、入声部 入声十六叶；《词林正韵》入声 第十九部
奈	《平水韵》去声部 九泰、去声部 二十一个；《词林正韵》仄声 第五部
契	《平水韵》入声部 入声九屑、入声部 入声五物、去声部 八霁；《词林正韵》仄声 第三部、入声 第十八部
奔	《平水韵》上平声部 十三元、去声部 十四愿；《词林正韵》平声 第六部
套	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部
奘	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》平声 第二部
奠	《平水韵》去声部 二十五径、去声部 十七霰；《词林正韵》仄声 第七部
女	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
奶	《平水韵》上声部 九蟹、上声部 八荠；《词林正韵》仄声 第五部
奸	《平水韵》上平声部 十五删、上平声部 十四寒；《词林正韵》平声 第七部
好	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部
如	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》平声 第四部
妃	《平水韵》上平声部 五微、去声部 十一队；《词林正韵》平声 第三部
妇	《平水韵》去声部 七遇、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
妊	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》仄声 第十三部、平声 第十三部
妠	《平水韵》入声部 入声八黠、入声部 入声十五合
妨	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
妪	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
妯	《平水韵》入声部 入声一屋、入声部 入声十二锡、下平声部 十一尤
妻	《平水韵》去声部 八霁、上平声部 八齐；《词林正韵》仄声 第三部、平声 第三部
姁	《平水韵》上平声部 七虞、去声部 七遇、上声部 七麌
姆	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
始	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
委	《平水韵》去声部 四寘、上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
姣	《平水韵》下平声部 三肴、上声部 十八巧；《词林正韵》仄声 第八部、平声 第八部
姹	《平水韵》去声部 七遇、上声部 二十一马、去声部 二十二祃
姺	《平水韵》上平声部 十一真、上声部 十六铣
姼	《平水韵》上平声部 四支、上声部 四纸
娃	《平水韵》上平声部 九佳、下平声部 六麻；《词林正韵》平声 第十部
娄	《平水韵》上平声部 七虞、下平声部 十一尤；《词林正韵》平声 第十二部
娅	《平水韵》上声部 二十一马、去声部 二十二祃；《词林正韵》仄声 第十部
娆	《平水韵》下平声部 二萧、上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
娇	《平水韵》下平声部 二萧、上声部 十七筱；《词林正韵》平声 第八部
娈	《平水韵》去声部 十七霰、上声部 十六铣、上平声部 十四寒
娉	《平水韵》下平声部 九青、去声部 二十四敬；《词林正韵》平声 第十一部
娑	《平水韵》上声部 二十哿、下平声部 五歌；《词林正韵》平声 第九部
娗	《平水韵》下平声部 九青、上声部 二十四迥
娠	《平水韵》上平声部 十一真、去声部 十二震；《词林正韵》平声 第六部
娣	《平水韵》上声部 八荠、去声部 八霁；《词林正韵》仄声 第三部
娩	《平水韵》上声部 十三阮、上声部 十六铣；《词林正韵》仄声 第七部
娲	《平水韵》上平声部 九佳、下平声部 六麻；《词林正韵》平声 第十部
娵	《平水韵》上平声部 七虞、下平声部 十一尤
婉	《平水韵》上声部 十三阮、去声部 十五翰；《词林正韵》仄声 第七部
媌	《平水韵》下平声部 三肴、上声部 十八巧
媛	《平水韵》去声部 十七霰、上平声部 十三元；《词林正韵》仄声 第七部、平声 第七部
媞	《平水韵》上声部 八荠、上平声部 八齐
嫇	《平水韵》下平声部 九青、上声部 二十四迥、下平声部 八庚
嫘	《平水韵》去声部 四寘、上平声部 四支
嫽	《平水韵》下平声部 二萧、上声部 十七筱、去声部 十八啸
嬉	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》平声 第三部
嬖	《平水韵》去声部 八霁、去声部 四寘；《词林正韵》仄声 第三部
嬛	《平水韵》下平声部 一先、下平声部 八庚
嬥	《平水韵》上声部 十七筱、去声部 十八啸
嬴	《平水韵》下平声部 八庚、上平声部 四支；《词林正韵》平声 第十一部
孛	《平水韵》入声部 入声六月、去声部 十一队；《词林正韵》入声 第十八部
孥	《平水韵》上平声部 七虞、上声部 七麌；《词林正韵》仄声 第四部、平声 第四部
孱	《平水韵》下平声部 一先、上平声部 十五删；《词林正韵》平声 第七部
孳	《平水韵》去声部 四寘、上平声部 四支
孺	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》仄声 第四部、平声 第四部
宁	《平水韵》下平声部 九青、去声部 六御、上声部 六语；《词林正韵》仄声 第十一部、平声 第十一部
宄	《平水韵》下平声部 十一尤、上声部 四纸
守	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
宛	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》仄声 第七部
宦	《平水韵》去声部 十六谏、上平声部 四支；《词林正韵》仄声 第七部
宴	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
宿	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》仄声 第十二部、入声 第十五部
寅	《平水韵》上平声部 十一真、上平声部 四支；《词林正韵》平声 第六部
富	《平水韵》去声部 七遇、去声部 二十六宥；《词林正韵》仄声 第十二部、仄声 第四部
寿	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
封	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》平声 第一部
射	《平水韵》去声部 二十二祃、入声部 入声十一陌；《词林正韵》入声 第十七部、仄声 第十部
将	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
尉	《平水韵》去声部 五未、入声部 入声五物；《词林正韵》仄声 第三部、入声 第十八部
少	《平水韵》上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部
就	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》仄声 第十二部
尼	《平水韵》入声部 入声四质、上平声部 四支；《词林正韵》平声 第三部
尿	《平水韵》去声部 十八啸；《词林正韵》仄声 第三部、仄声 第八部
居	《平水韵》上平声部 六鱼、上平声部 四支；《词林正韵》平声 第四部
屏	《平水韵》下平声部 九青、上声部 二十三梗；《词林正韵》平声 第十一部
属	《平水韵》去声部 七遇、入声部 入声二沃；《词林正韵》入声 第十五部
屠	《平水韵》上平声部 七虞、上平声部 六鱼；《词林正韵》平声 第四部
屣	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
屯	《平水韵》上平声部 十一真、上平声部 十三元；《词林正韵》平声 第六部
岌	《平水韵》入声部 入声十六叶、入声部 入声十四缉；《词林正韵》入声 第十七部
岿	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》平声 第三部
峒	《平水韵》上平声部 一东、上声部 一董、去声部 一送；《词林正韵》平声 第一部
峘	《平水韵》上平声部 十四寒、下平声部 十蒸
峤	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部
峨	《平水韵》上声部 二十哿、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
崄	《平水韵》上声部 二十八琰、下平声部 十四盐
崒	《平水韵》入声部 入声六月、入声部 入声四质
崖	《平水韵》上平声部 九佳、上平声部 四支；《词林正韵》平声 第三部、平声 第五部
崛	《平水韵》入声部 入声五物、入声部 入声六月；《词林正韵》入声 第十八部
崦	《平水韵》上声部 二十八琰、下平声部 十四盐；《词林正韵》仄声 第十四部、平声 第十四部
嵌	《平水韵》上声部 二十七感、去声部 二十八勘、下平声部 十五咸；《词林正韵》仄声 第十四部、平声 第十四部
嵕	《平水韵》上平声部 一东、上平声部 三江
嵝	《平水韵》上声部 七麌、上声部 二十五有、去声部 二十六宥
嵬	《平水韵》上平声部 十灰、上声部 十贿；《词林正韵》平声 第三部
嵯	《平水韵》下平声部 五歌、上平声部 四支；《词林正韵》平声 第九部
嵷	《平水韵》上平声部 一东、上声部 一董
嶓	《平水韵》去声部 二十一个、下平声部 五歌
嶙	《平水韵》上平声部 十一真、上声部 十一轸；《词林正韵》平声 第六部
嶭	《平水韵》入声部 入声七曷、入声部 入声九屑
嶲	《平水韵》上平声部 八齐、上声部 四纸
嶷	《平水韵》入声部 入声十三职、上平声部 四支；《词林正韵》平声 第三部
巉	《平水韵》上声部 二十九豏、下平声部 十五咸；《词林正韵》仄声 第十四部、平声 第十四部
左	《平水韵》去声部 二十一个、上声部 二十哿；《词林正韵》仄声 第九部
巨	《平水韵》上声部 六语；《词林正韵》平声 第十一部、仄声 第四部
差	《平水韵》上平声部 九佳、下平声部 六麻、上平声部 四支；《词林正韵》平声 第三部、平声 第五部、平声 第十部
帅	《平水韵》入声部 入声四质；《词林正韵》仄声 第三部、入声 第十七部
帆	《平水韵》去声部 三十陷、下平声部 十五咸；《词林正韵》平声 第十四部
师	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
帑	《平水韵》上平声部 七虞、上声部 二十二养；《词林正韵》平声 第四部
帔	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
帕	《平水韵》入声部 入声八黠；《词林正韵》入声 第十八部、仄声 第十部
帱	《平水韵》下平声部 十一尤、下平声部 四豪；《词林正韵》平声 第十二部
幂	《平水韵》下平声部 九青、入声部 入声十二锡；《词林正韵》入声 第十七部
幅	《平水韵》入声部 入声一屋、入声部 入声十三职；《词林正韵》入声 第十七部、入声 第十五部
幢	《平水韵》上平声部 三江、去声部 三绛；《词林正韵》平声 第二部
幨	《平水韵》去声部 二十九艳、下平声部 十四盐
幪	《平水韵》上平声部 一东、上声部 一董、去声部 一送
干	《平水韵》下平声部 一先、去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
平	《平水韵》下平声部 一先、下平声部 八庚；《词林正韵》平声 第十一部
并	《平水韵》上声部 二十三梗、去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
广	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
庆	《平水韵》下平声部 七阳、去声部 二十四敬；《词林正韵》仄声 第十一部
庑	《平水韵》上平声部 七虞、上声部 七麌；《词林正韵》仄声 第四部
应	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》仄声 第十一部、平声 第十一部
底	《平水韵》上声部 八荠、上声部 四纸；《词林正韵》仄声 第三部
庞	《平水韵》上平声部 一东、上平声部 三江；《词林正韵》平声 第二部
度	《平水韵》去声部 七遇、入声部 入声十药；《词林正韵》入声 第十六部、仄声 第四部
庭	《平水韵》下平声部 九青、去声部 二十五径；《词林正韵》平声 第十一部
庮	《平水韵》上声部 二十五有、下平声部 十一尤
庱	《平水韵》上声部 二十四迥、下平声部 十蒸
庳	《平水韵》去声部 四寘、上平声部 四支、上声部 四纸
廋	《平水韵》上声部 二十五有、下平声部 十一尤
廌	《平水韵》上声部 九蟹、上声部 四纸
廑	《平水韵》上平声部 十二文、去声部 十二震；《词林正韵》仄声 第六部
廖	《平水韵》去声部 二十六宥、下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部
廙	《平水韵》入声部 入声十三职、去声部 四寘
延	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》平声 第七部
廷	《平水韵》下平声部 九青、去声部 二十五径；《词林正韵》平声 第十一部
弁	《平水韵》去声部 十七霰、上平声部 十四寒；《词林正韵》仄声 第七部
弇	《平水韵》上声部 二十八琰、下平声部 十三覃；《词林正韵》仄声 第十四部
引	《平水韵》上声部 十一轸、去声部 十二震；《词林正韵》仄声 第六部
弛	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
弟	《平水韵》上声部 八荠、去声部 八霁；《词林正韵》仄声 第三部
张	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
弥	《平水韵》上声部 八荠、上平声部 四支、上声部 四纸；《词林正韵》平声 第三部
弮	《平水韵》下平声部 一先、去声部 十七霰
弹	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
强	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》仄声 第二部、平声 第二部
当	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
录	《平水韵》入声部 入声一屋、入声部 入声二沃；《词林正韵》入声 第十五部
彗	《平水韵》去声部 八霁、去声部 四寘；《词林正韵》仄声 第三部
彭	《平水韵》下平声部 七阳、下平声部 八庚；《词林正韵》平声 第十一部
彯	《平水韵》下平声部 二萧、去声部 十八啸
彷	《平水韵》下平声部 七阳、去声部 二十三漾
征	《平水韵》下平声部 八庚、下平声部 十蒸、上声部 四纸；《词林正韵》平声 第十一部
徕	《平水韵》去声部 十一队、上平声部 十灰；《词林正韵》平声 第五部
徛	《平水韵》去声部 四寘、上平声部 四支
御	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
徯	《平水韵》上声部 八荠、上平声部 八齐
德	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》入声 第十七部
徼	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部
忘	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
忝	《平水韵》去声部 二十九艳、上声部 二十八琰；《词林正韵》仄声 第十四部
忞	《平水韵》上平声部 十一真、上声部 十二吻
念	《平水韵》去声部 二十九艳、去声部 十七霰；《词林正韵》仄声 第七部、仄声 第十四部
忾	《平水韵》去声部 五未、去声部 十一队；《词林正韵》仄声 第五部
忿	《平水韵》去声部 十三问、上声部 十二吻；《词林正韵》仄声 第六部
怃	《平水韵》上平声部 七虞、上声部 七麌
怅	《平水韵》去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
怆	《平水韵》下平声部 七阳、去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部、平声 第二部
怏	《平水韵》下平声部 七阳、去声部 二十三漾、上声部 二十二养；《词林正韵》平声 第二部
怒	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
思	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部
怨	《平水韵》上平声部 十三元、去声部 十四愿；《词林正韵》仄声 第七部
怮	《平水韵》上声部 二十五有、下平声部 二萧、下平声部 十一尤
怯	《平水韵》入声部 入声十七洽、入声部 入声十五合；《词林正韵》入声 第十九部
怲	《平水韵》上声部 二十三梗、去声部 二十四敬
恁	《平水韵》去声部 二十七沁、上声部 二十六寝；《词林正韵》仄声 第十三部
恐	《平水韵》去声部 二宋、上声部 二肿；《词林正韵》仄声 第一部
恔	《平水韵》上声部 十七筱、去声部 十九效
恟	《平水韵》上平声部 二冬、上声部 二肿
恧	《平水韵》入声部 入声一屋、入声部 入声十三职
恫	《平水韵》上平声部 一东、上声部 一董、去声部 一送
恶	《平水韵》上平声部 七虞、去声部 七遇、入声部 入声十药；《词林正韵》入声 第十六部、仄声 第四部
悁	《平水韵》下平声部 一先、去声部 十七霰
悄	《平水韵》上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部
悌	《平水韵》上声部 八荠、去声部 八霁；《词林正韵》仄声 第三部
悍	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
悔	《平水韵》去声部 十一队、上声部 十贿；《词林正韵》仄声 第三部
悖	《平水韵》入声部 入声六月、去声部 十一队；《词林正韵》仄声 第三部、入声 第十八部
悝	《平水韵》上平声部 十灰、上声部 四纸
患	《平水韵》上平声部 十五删、去声部 十六谏；《词林正韵》仄声 第七部、平声 第七部
悹	《平水韵》去声部 十五翰、上声部 十四旱
悾	《平水韵》上平声部 一东、上平声部 三江
惇	《平水韵》上平声部 十一真、上平声部 十三元
惙	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》入声 第十八部
惛	《平水韵》上平声部 十三元、去声部 十四愿
惰	《平水韵》去声部 二十一个、上声部 二十哿；《词林正韵》仄声 第九部
惺	《平水韵》下平声部 九青、上声部 二十三梗；《词林正韵》仄声 第十一部、平声 第十一部
愀	《平水韵》上声部 二十五有、下平声部 十一尤、上声部 十七筱
愈	《平水韵》上平声部 七虞、上声部 七麌；《词林正韵》仄声 第四部
意	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》仄声 第三部
愒	《平水韵》去声部 九泰、入声部 入声九屑、去声部 八霁
慊	《平水韵》上声部 二十八琰、入声部 入声十六叶
慌	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》平声 第二部
慓	《平水韵》上声部 十七筱、去声部 十八啸
慷	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》仄声 第二部、平声 第二部
憃	《平水韵》上平声部 三江、上平声部 二冬
憧	《平水韵》去声部 三绛、上平声部 二冬
憨	《平水韵》去声部 二十八勘、下平声部 十三覃；《词林正韵》仄声 第十四部、平声 第十四部
憸	《平水韵》上声部 二十八琰、下平声部 十四盐
憺	《平水韵》上声部 二十七感、去声部 二十八勘
懆	《平水韵》去声部 二十号、上声部 十九皓
懊	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部
懑	《平水韵》上声部 十三阮、上声部 十四旱；《词林正韵》仄声 第七部
懠	《平水韵》去声部 八霁、上平声部 八齐
懦	《平水韵》上平声部 七虞、去声部 二十一个；《词林正韵》仄声 第九部
懵	《平水韵》上平声部 一东、上声部 一董、上平声部 二冬
戍	《平水韵》去声部 七遇、入声部 入声四质；《词林正韵》仄声 第四部
戏	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部
扁	《平水韵》下平声部 一先、上声部 十六铣；《词林正韵》仄声 第七部、平声 第七部
扇	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
扉	《平水韵》上平声部 五微、去声部 五未；《词林正韵》平声 第三部
才	《平水韵》下平声部 十五咸、上平声部 十灰；《词林正韵》平声 第五部
打	《平水韵》上声部 二十一马、上声部 二十三梗；《词林正韵》仄声 第十一部、仄声 第十部
扢	《平水韵》入声部 入声五物、入声部 入声六月
扣	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
批	《平水韵》入声部 入声九屑、上平声部 八齐；《词林正韵》平声 第三部、入声 第十八部
扼	《平水韵》入声部 入声九屑、入声部 入声十一陌、去声部 十卦；《词林正韵》入声 第十七部
抆	《平水韵》去声部 十三问、上声部 十二吻；《词林正韵》仄声 第六部
抓	《平水韵》下平声部 三肴、下平声部 六麻、去声部 十九效、上声部 十八巧；《词林正韵》平声 第八部、平声 第十部
抔	《平水韵》下平声部 十一尤、上平声部 十灰；《词林正韵》平声 第十二部
折	《平水韵》入声部 入声九屑、入声部 入声十六叶、上平声部 八齐；《词林正韵》入声 第十八部
抡	《平水韵》上平声部 十一真、上平声部 十三元；《词林正韵》平声 第六部
抢	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》仄声 第二部、平声 第二部
抱	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部
抵	《平水韵》上声部 八荠、上声部 四纸；《词林正韵》仄声 第三部
担	《平水韵》去声部 二十八勘、下平声部 十三覃；《词林正韵》仄声 第十四部、平声 第十四部
拌	《平水韵》上平声部 十四寒、上声部 十四旱；《词林正韵》仄声 第七部
拏	《平水韵》上平声部 七虞、下平声部 六麻
拓	《平水韵》入声部 入声十一陌、入声部 入声十五合、入声部 入声十药；《词林正韵》入声 第十九部、入声 第十六部
拔	《平水韵》入声部 入声七曷、入声部 入声八黠、去声部 十一队；《词林正韵》入声 第十八部
拖	《平水韵》下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
拗	《平水韵》去声部 十九效、上声部 十八巧；《词林正韵》仄声 第八部
拢	《平水韵》上声部 一董、上平声部 三江；《词林正韵》仄声 第一部
拣	《平水韵》去声部 十七霰、上声部 十五潸；《词林正韵》仄声 第七部
拮	《平水韵》入声部 入声九屑、入声部 入声四质；《词林正韵》入声 第十八部
拱	《平水韵》去声部 二宋、上声部 二肿；《词林正韵》仄声 第一部
拼	《平水韵》去声部 十七霰、去声部 十三问、上平声部 十四寒；《词林正韵》平声 第七部、仄声 第六部
拽	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》入声 第十八部
拾	《平水韵》入声部 入声十六叶、入声部 入声十四缉；《词林正韵》入声 第十七部
挂	《平水韵》去声部 八霁、去声部 十卦；《词林正韵》仄声 第十部
挑	《平水韵》下平声部 二萧、上声部 十七筱、下平声部 四豪；《词林正韵》仄声 第八部、平声 第八部
挠	《平水韵》下平声部 三肴、上声部 十八巧、下平声部 四豪；《词林正韵》仄声 第八部、平声 第八部
挢	《平水韵》下平声部 二萧、上声部 十七筱
挤	《平水韵》上声部 八荠、去声部 八霁、上平声部 八齐；《词林正韵》仄声 第三部
挨	《平水韵》上平声部 九佳、上声部 九蟹；《词林正韵》平声 第五部
振	《平水韵》下平声部 八庚、上平声部 十一真、去声部 十二震；《词林正韵》仄声 第六部
挼	《平水韵》去声部 二十一个、下平声部 五歌、上平声部 十灰；《词林正韵》仄声 第九部、平声 第九部
挽	《平水韵》上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第七部
捩	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》仄声 第三部
据	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》仄声 第四部、平声 第四部
捶	《平水韵》上平声部 十灰、上声部 四纸；《词林正韵》仄声 第三部
捻	《平水韵》入声部 入声十六叶；《词林正韵》仄声 第七部、入声 第十八部
捼	《平水韵》下平声部 五歌、上平声部 十灰
捽	《平水韵》入声部 入声六月、入声部 入声四质；《词林正韵》入声 第十七部、入声 第十八部
掇	《平水韵》入声部 入声七曷、入声部 入声九屑；《词林正韵》入声 第十八部
授	《平水韵》上声部 二十五有、去声部 二十六宥、去声部 十七霰；《词林正韵》仄声 第十二部
掉	《平水韵》上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部
掊	《平水韵》下平声部 三肴、上声部 二十五有、下平声部 十一尤、上平声部 十灰；《词林正韵》仄声 第十二部、平声 第十二部
掎	《平水韵》去声部 四寘、上声部 四纸
掏	《平水韵》入声部 入声十七洽、下平声部 四豪；《词林正韵》平声 第八部
掘	《平水韵》入声部 入声五物、入声部 入声六月；《词林正韵》入声 第十八部
掠	《平水韵》去声部 二十三漾、入声部 入声十药；《词林正韵》入声 第十六部
探	《平水韵》去声部 二十八勘、下平声部 十三覃；《词林正韵》平声 第十四部
掣	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》仄声 第三部
推	《平水韵》上平声部 十灰、上平声部 四支；《词林正韵》平声 第三部
掫	《平水韵》上声部 二十五有、下平声部 十一尤
掸	《平水韵》去声部 二十八勘、上平声部 十四寒
掺	《平水韵》上声部 二十九豏、下平声部 十二侵、下平声部 十五咸、下平声部 十四盐、下平声部 四豪；《词林正韵》平声 第十三部、平声 第十四部
揄	《平水韵》上平声部 七虞、下平声部 十一尤
揉	《平水韵》上声部 二十五有、下平声部 十一尤；《词林正韵》仄声 第十二部、平声 第十二部
提	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
揜	《平水韵》上声部 二十七感、上声部 二十八琰
揣	《平水韵》上声部 二十哿、上声部 四纸；《词林正韵》仄声 第三部
揭	《平水韵》入声部 入声九屑、入声部 入声六月、去声部 八霁；《词林正韵》入声 第十八部
